species,survey,percent.change,pop.change,French_Name,Scientific_Name,Sort_Order,Index.data.source,Primary.Survey.2017.SOBC.original,nationalalt.All.birds,national.Other.birds,nationalalt.arctic,nationalalt.shrub,nationalalt.suburban,national.Forest.birds,national.Grassland.birds,national.Shorebirds,national.other.wetland.birds,nationalalt.wetland.birds,national.Waterfowl,national.diurnal.raptors,national.Aerial.insectivores,national.Canadian.nesting.Seabirds,nationalalt.range.expansion,grassland.native.grassland,grassland.other,seabirds.Atlantic,seabirds.Pacific,seabirds.alcids,seabirds.nonalcid,seabirds.Arctic,shorebirds.longdistance,shorebirds.other,forest.mature,forest.young,forest.boreal,forest.eastern,forest.western,forest.broad,forestm.Canada,forestm.south.america,forestm.forest.crop.specialists,forestm.Mex.CAm.US,waterfowl.geese,waterfowl.ducks,waterfowl.other.wetland.birds,rapAI.diurnal.raptors,rapAI.Aerial.insectivores,CDN_Status,approximate_percent_change,
Snow Bunting,CBC NA,-61,Decrease,Plectrophane des neiges,Plectrophenax nivalis,1776,CBC NA,CBC NA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-60.8,0.2
Snow Goose,Lincoln Estimate,910,Increase,Oie des neiges,Anser caerulescens,12,Lincoln Estimate,Lincoln Estimate,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,BRE,908,-2
Snowy Egret,NA,NA,NA,Aigrette neigeuse,Egretta thula,743,no acceptable data for indicator,Atlas Maritimes,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE_OCC,NA,#VALUE!
Snowy Owl,CBC NA,-25,Little Change,Harfang des neiges,Bubo scandiacus,845,CBC NA,CBC NA,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-24.5,0.5
Snowy Plover,NA,NA,NA,Pluvier neigeux,Charadrius nivosus,456,no acceptable data for indicator,NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE_OCC,NA,#VALUE!
Solitary Sandpiper,Shorebird,-5,Little Change,Chevalier solitaire,Tringa solitaria,520,Shorebird,Shorebird,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,Included in group,,,,,,BRE,-4.99,0.01
Song Sparrow,BBS,-44,Decrease,Bruant chanteur,Melospiza melodia,1851,BBS,BBS,Included in group,Included in group,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-43.6,0.4
Sooty Grouse,BBS,-64,Decrease,Tétras fuligineux,Dendragapus fuliginosus,132,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,,,Included in group,,,,,,,,,BRE,-64.5,-0.5
Sooty Shearwater,NA,NA,NA,Puffin fuligineux,Ardenna grisea,672,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Sora,BBS,31,Little Change,Marouette de Caroline,Porzana carolina,418,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,30.8,-0.2
