species,survey,percent.change,pop.change,French_Name,Scientific_Name,Sort_Order,Index.data.source,Primary.Survey.2017.SOBC.original,nationalalt.All.birds,national.Other.birds,nationalalt.arctic,nationalalt.shrub,nationalalt.suburban,national.Forest.birds,national.Grassland.birds,national.Shorebirds,national.other.wetland.birds,nationalalt.wetland.birds,national.Waterfowl,national.diurnal.raptors,national.Aerial.insectivores,national.Canadian.nesting.Seabirds,nationalalt.range.expansion,grassland.native.grassland,grassland.other,seabirds.Atlantic,seabirds.Pacific,seabirds.alcids,seabirds.nonalcid,seabirds.Arctic,shorebirds.longdistance,shorebirds.other,forest.mature,forest.young,forest.boreal,forest.eastern,forest.western,forest.broad,forestm.Canada,forestm.south.america,forestm.forest.crop.specialists,forestm.Mex.CAm.US,waterfowl.geese,waterfowl.ducks,waterfowl.other.wetland.birds,rapAI.diurnal.raptors,rapAI.Aerial.insectivores,CDN_Status,approximate_percent_change,
Hudsonian Godwit,Shorebird,-72,Decrease,Barge hudsonienne,Limosa haemastica,479,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-72.5,-0.5
Hutton's Vireo,BBS,240,Increase,Viréo de Hutton,Vireo huttoni,1349,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,,,BRE,238,-2
Iceland Gull,CBC NA,1300,Increase,Goéland arctique,Larus glaucoides,587,CBC NA,CBC NA,Included in group,,,,,,,,Included in group,Included in group,,,,Included in group,,,,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,Included in group,,,BRE,53.5,-1246.5
Indigo Bunting,BBS,38,Increase,Passerin indigo,Passerina cyanea,2060,BBS,BBS,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,38.1,0.1
Ivory Gull,NA,NA,NA,Mouette blanche,Pagophila eburnea,567,no acceptable data for indicator,"COSEWIC, decidcated surveys, LEK",Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Killdeer,BBS,-69,Decrease,Pluvier kildir,Charadrius vociferus,462,BBS,BBS,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,-71,-2
King Eider,NA,NA,NA,Eider à tête grise,Somateria spectabilis,62,no acceptable data for indicator,NA,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,NA,#VALUE!
King Rail,NA,NA,NA,Râle élégant,Rallus elegans,411,no acceptable data for indicator,Dedicated survey,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,NA,#VALUE!
Kirtland's Warbler,NA,NA,NA,Paruline de Kirtland,Setophaga kirtlandii,1984,no acceptable data for indicator,In text,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Labrador Duck,NA,NA,NA,NA,NA,NA,no acceptable data for indicator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ext,NA,#VALUE!
Lapland Longspur,CBC NA,-65,Decrease,Plectrophane lapon,Calcarius lapponicus,1772,CBC NA,CBC NA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-64.9,0.1
Lark Bunting,BBS,-91,Decrease,Bruant noir et blanc,Calamospiza melanocorys,1840,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,BRE,-91.4,-0.4
Lark Sparrow,BBS,70,Increase,Bruant à joues marron,Chondestes grammacus,1835,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,69.9,-0.1
Laughing Gull,NA,NA,NA,Mouette atricille,Leucophaeus atricilla,575,no acceptable data for indicator,in text,Included in group,,,,,,,,,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,BRE_OCC,NA,#VALUE!
Laysan Albatross,NA,NA,NA,Albatros de Laysan,Phoebastria immutabilis,637,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Lazuli Bunting,BBS,320,Increase,Passerin azuré,Passerina amoena,2059,BBS,BBS,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,324,4
Le Conte's Sparrow,BBS,-33,Decrease,Bruant de LeConte,Ammodramus leconteii,1845,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,-32.6,0.4
Leach's Storm-Petrel,Colony Counts Atlantic,-42,Decrease,Océanite cul-blanc,Oceanodroma leucorhoa,692,Colony Counts Atlantic,Colony Counts Atlantic,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,BRE,-40.4,1.6
Least Bittern,MMP - GL,-9.5,Little Change,Petit Blongios,Ixobrychus exilis,728,MMP - GL,MMP - GL,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-9.54,-0.04
Least Flycatcher,BBS,-45,Decrease,Moucherolle tchébec,Empidonax minimus,1225,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,Included in group,,,,,,BRE,-44.8,0.2
Least Sandpiper,Shorebird,-12,Little Change,Bécasseau minuscule,Calidris minutilla,501,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-12.5,-0.5
Lesser Black-backed Gull,NA,NA,NA,Goéland brun,Larus fuscus,588,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Lesser Scaup,Western Waterfowl,-15,Little Change,Petit Fuligule,Aythya affinis,59,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,-14.8,0.2
Lesser Yellowlegs,Shorebird,-67,Decrease,Petit Chevalier,Tringa flavipes,523,Shorebird,Shorebird,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,,,Included in group,,,,,,BRE,-67.3,-0.3
Lewis's Woodpecker,BBS,-65,Decrease,Pic de Lewis,Melanerpes lewis,934,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,,Included in group,,,,,,BRE,-64.6,0.4
Lincoln's Sparrow,BBS,41,Increase,Bruant de Lincoln,Melospiza lincolnii,1852,BBS,BBS,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,41,0
Little Blue Heron,NA,NA,NA,Aigrette bleue,Egretta caerulea,744,no acceptable data for indicator,NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,RNB,NA,#VALUE!
Little Gull,NA,NA,NA,Mouette pygmée,Hydrocoloeus minutus,572,no acceptable data for indicator,in text,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE_OCC,NA,#VALUE!
Loggerhead Shrike,BBS,-77,Decrease,Pie-grièche migratrice,Lanius ludovicianus,1323,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-76.9,0.1
Long-billed Curlew,BBS,-19,Little Change,Courlis à long bec,Numenius americanus,473,BBS,BBS,Included in group,,,,,,Included in group,Included in group,,,,,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,-25.5,-6.5
Long-billed Dowitcher,Shorebird,-82,Decrease,Bécassin à long bec,Limnodromus scolopaceus,508,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-81.6,0.4
Long-eared Owl,CBC NA,-51,Decrease,Hibou moyen-duc,Asio otus,862,CBC NA,CBC NA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,,,BRE,-50.5,0.5
Long-tailed Duck,NA,NA,NA,Harelde kakawi,Clangula hyemalis,70,no acceptable data for indicator,NA,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,NA,#VALUE!
Long-tailed Jaeger,NA,NA,NA,Labbe à longue queue,Stercorarius longicaudus,540,no acceptable data for indicator,NA,Included in group,,,,,,,,Included in group,Included in group,,,,Included in group,,,,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,Included in group,,,BRE,NA,#VALUE!
Louisiana Waterthrush,NA,NA,NA,Paruline hochequeue,Parkesia motacilla,1948,no acceptable data for indicator,Atlas ON,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,,BRE,NA,#VALUE!
MacGillivray's Warbler,BBS,-15,Little Change,Paruline des buissons,Geothlypis tolmiei,1968,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,,,Included in group,,,,,,BRE,-14.9,0.1
Magnolia Warbler,BBS,61,Increase,Paruline à tête cendrée,Setophaga magnolia,1989,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,Included in group,,,,,,BRE,61.5,0.5
Mallard,Western Waterfowl,32,Little Change,Canard colvert,Anas platyrhynchos,47,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,31.8,-0.2
Manx Shearwater,NA,NA,NA,Puffin des Anglais,Puffinus puffinus,678,no acceptable data for indicator,Dedicated survey,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Marbled Godwit,BBS,-45,Decrease,Barge marbrée,Limosa fedoa,480,BBS,BBS,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,-51.3,-6.3
Marbled Murrelet,NA,NA,NA,Guillemot marbré,Brachyramphus marmoratus,549,no acceptable data for indicator,In text,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,BRE,NA,#VALUE!
Marsh Wren,BBS,280,Increase,Troglodyte des marais,Cistothorus palustris,1468,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,283,3
McCown's Longspur,BBS,-96,Decrease,Plectrophane de McCown,Rhynchophanes mccownii,1775,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,BRE,-95.9,0.1
Merlin,BBS,490,Increase,Faucon émerillon,Falco columbarius,999,BBS,BBS,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,493,3
Mew Gull,CBC NA,-71,Decrease,Goéland cendré,Larus canus,580,CBC NA,CBC NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-71.1,-0.1
Mississippi Kite,NA,NA,NA,Milan du Mississippi,Ictinia mississippiensis,778,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE_OCC,NA,#VALUE!
Mottled Petrel,NA,NA,NA,Pétrel maculé,Pterodroma inexpectata,648,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Mountain Bluebird,BBS,-19,Little Change,Merlebleu azuré,Sialia currucoides,1557,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-18.6,0.4
Mountain Chickadee,BBS,49,Increase,Mésange de Gambel,Poecile gambeli,1435,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,BRE,49,0
Mountain Plover,NA,NA,NA,Pluvier montagnard,Charadrius montanus,464,no acceptable data for indicator,NA,Included in group,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE_OCC,NA,#VALUE!
Mountain Quail,NA,NA,NA,NA,NA,NA,no acceptable data for indicator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ext,NA,#VALUE!
Mourning Dove,BBS,73,Increase,Tourterelle triste,Zenaida macroura,197,BBS,BBS,Included in group,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,73.2,0.2
Mourning Warbler,BBS,-48,Decrease,Paruline triste,Geothlypis philadelphia,1969,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,Included in group,,,,,,BRE,-47.5,0.5
Murphy's Petrel,NA,NA,NA,Pétrel de Murphy,Pterodroma ultima,647,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Mute Swan,NA,NA,NA,Cygne tuberculé,Cygnus olor,25,no acceptable data for indicator,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_Intr,NA,#VALUE!
Nashville Warbler,BBS,8.3,Little Change,Paruline à joues grises,Oreothlypis ruficapilla,1962,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,Included in group,,,,,,BRE,8.29,-0.01
Nelson's Sparrow,BBS,66,Increase,Bruant de Nelson,Ammodramus nelsoni,1846,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,65.7,-0.3
Northern Bobwhite,NA,NA,NA,Colin de Virginie,Colinus virginianus,98,no acceptable data for indicator,NA,Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Northern Cardinal,BBS,380,Increase,Cardinal rouge,Cardinalis cardinalis,2047,BBS,BBS,Included in group,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,,,Included in group,,,,,,,,,BRE,381,1
Northern Flicker,BBS,-36,Decrease,Pic flamboyant,Colaptes auratus,976,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,Included in group,,,,,,BRE,-35.7,0.3
Northern Fulmar,NA,-14,Little Change,Fulmar boréal,Fulmarus glacialis,641,Colony Counts Arctic,Colony Counts Arctic,Included in group,,,,,,,,,,,,,Included in group,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,BRE,-13.2,0.8
Northern Gannet,Colony Counts Atlantic,310,Increase,Fou de Bassan,Morus bassanus,715,Colony Counts Atlantic,Colony Counts Atlantic,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,BRE,280,-30
Northern Goshawk,CBC CA,-5.3,Little Change,Autour des palombes,Accipiter gentilis,795,CBC CA,CBC CA,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,-5.25,0.05
Northern Harrier,BBS,-52,Decrease,Busard des marais,Circus hudsonius,785,BBS,BBS,Included in group,,,,,,Included in group,,,,,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,-52,0
Northern Hawk Owl,CBC NA,-48,Decrease,Chouette épervière,Surnia ulula,846,CBC NA,CBC NA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,,,,,,BRE,-48.1,-0.1
Northern Mockingbird,BBS,18,Little Change,Moqueur polyglotte,Mimus polyglottos,1632,BBS,BBS,Included in group,Included in group,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,17.8,-0.2
Northern Parula,BBS,340,Increase,Paruline à collier,Setophaga americana,1987,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,,BRE,340,0
Northern Pintail,Western Waterfowl,-46,Decrease,Canard pilet,Anas acuta,51,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,-45.7,0.3
Northern Pygmy-Owl,CBC NA,39,Increase,Chevêchette naine,Glaucidium gnoma,847,CBC NA,CBC NA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,,,BRE,39.5,0.5
Northern Rough-winged Swallow,BBS,-41,Decrease,Hirondelle à ailes hérissées,Stelgidopteryx serripennis,1426,BBS,BBS,Included in group,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,BRE,-41.4,-0.4
Northern Saw-whet Owl,CBC NA,200,Increase,Petite Nyctale,Aegolius acadicus,868,CBC NA,CBC NA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,,,BRE,202,2
Northern Shoveler,Western Waterfowl,110,Increase,Canard souchet,Spatula clypeata,39,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,111,1
Northern Shrike,CBC CA,-16,Little Change,Pie-grièche boréale,Lanius borealis,1324,CBC CA,CBC CA,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-15.7,0.3
Northern Waterthrush,BBS,52,Increase,Paruline des ruisseaux,Parkesia noveboracensis,1949,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,Included in group,,,,,,BRE,51.6,-0.4
Northern Wheatear,NA,NA,NA,Traquet motteux,Oenanthe oenanthe,1554,no acceptable data for indicator,NA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Northwestern Crow,BBS,44,Increase,Corneille d'Alaska,Corvus caurinus,1394,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,43.5,-0.5
Olive-sided Flycatcher,BBS,-65,Decrease,Moucherolle à côtés olive,Contopus cooperi,1209,BBS,BBS,Included in group,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,Included in group,,,,,Included in group,,,,,,,Included in group,BRE,-65.5,-0.5
Orange-crowned Warbler,BBS,40,Increase,Paruline verdâtre,Oreothlypis celata,1959,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,Included in group,,,,,,BRE,39.9,-0.1
Orchard Oriole,BBS,660,Increase,Oriole des vergers,Icterus spurius,1908,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,662,2
Osprey,BBS,360,Increase,Balbuzard pêcheur,Pandion haliaetus,769,BBS,BBS,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,359,-1
Ovenbird,BBS,15,Little Change,Paruline couronnée,Seiurus aurocapilla,1946,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,,BRE,15.3,0.3
Pacific-slope Flycatcher,BBS,220,Increase,Moucherolle côtier,Empidonax difficilis,1230,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,,Included in group,,,,,,BRE,216,-4
Pacific Golden-Plover,NA,NA,NA,Pluvier fauve,Pluvialis fulva,452,no acceptable data for indicator,NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Pacific Loon,CBC NA,94,Increase,Plongeon du Pacifique,Gavia pacifica,627,CBC NA,CBC NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,93.6,-0.4
Pacific Wren,BBS,19,Little Change,Troglodyte de Baird,Troglodytes pacificus,1464,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,BRE,19.4,0.4
Palm Warbler,BBS,110,Increase,Paruline à couronne rousse,Setophaga palmarum,1996,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,Included in group,,,,,,BRE,114,4
Parakeet Auklet,NA,NA,NA,Starique perroquet,Aethia psittacula,556,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Parasitic Jaeger,NA,NA,NA,Labbe parasite,Stercorarius parasiticus,539,no acceptable data for indicator,NA,Included in group,,,,,,,,Included in group,Included in group,,,,Included in group,,,,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,Included in group,,,BRE,NA,#VALUE!
Passenger Pigeon,NA,NA,NA,NA,NA,NA,no acceptable data for indicator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ext,NA,#VALUE!
Pectoral Sandpiper,Shorebird,-53,Decrease,Bécasseau à poitrine cendrée,Calidris melanotos,504,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-52.9,0.1
Pelagic Cormorant,CBC NA,3.3,Little Change,Cormoran pélagique,Phalacrocorax pelagicus,721,CBC NA,CBC NA,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,BRE,-1.27,-4.57
